[2026-03-28 06:12:21] [WARNING] openclaw: Telegram channel not OK
[2026-03-28 06:13:13] [WARNING] openclaw: 'list' object has no attribute 'get'
[2026-04-02 09:37:54] [INFO] disk_pruner: Auto-pruned: pycache: /home/sntrblck/.openclaw/workspace/skills/advanced_memory/__pycache__ (0.0MB)
[2026-04-02 09:37:54] [INFO] disk_pruner: Auto-pruned: pycache: /home/sntrblck/.openclaw/workspace/cdp-nova/__pycache__ (0.0MB)
[2026-04-02 09:37:54] [INFO] disk_pruner: Auto-pruned: pycache: /home/sntrblck/.openclaw/workspace/.venv/lib/python3.11/site-packages/__pycache__ (0.2MB)
[2026-04-02 09:37:54] [INFO] disk_pruner: Auto-pruned: pycache: /home/sntrblck/.openclaw/workspace/.venv/lib/python3.11/site-packages/dateutil/__pycache__ (0.0MB)
[2026-04-02 09:37:54] [INFO] disk_pruner: Auto-pruned: pycache: /home/sntrblck/.openclaw/workspace/.venv/lib/python3.11/site-packages/dateutil/parser/__pycache__ (0.1MB)
[2026-04-02 09:37:54] [INFO] disk_pruner: Auto-pruned: pycache: /home/sntrblck/.openclaw/workspace/.venv/lib/python3.11/site-packages/dateutil/tz/__pycache__ (0.1MB)
[2026-04-02 09:37:54] [INFO] disk_pruner: Auto-pruned: pycache: /home/sntrblck/.openclaw/workspace/.venv/lib/python3.11/site-packages/requests/__pycache__ (0.2MB)
[2026-04-02 09:37:54] [INFO] disk_pruner: Auto-pruned: pycache: /home/sntrblck/.openclaw/workspace/.venv/lib/python3.11/site-packages/propcache/__pycache__ (0.0MB)
[2026-04-02 09:37:54] [INFO] disk_pruner: Auto-pruned: pycache: /home/sntrblck/.openclaw/workspace/.venv/lib/python3.11/site-packages/base58/__pycache__ (0.0MB)
[2026-04-02 09:37:54] [INFO] disk_pruner: Auto-pruned: pycache: /home/sntrblck/.openclaw/workspace/.venv/lib/python3.11/site-packages/aiosignal/__pycache__ (0.0MB)
[2026-04-02 09:37:54] [INFO] disk_pruner: Auto-pruned: pycache: /home/sntrblck/.openclaw/workspace/.venv/lib/python3.11/site-packages/multidict/__pycache__ (0.0MB)
[2026-04-02 09:37:54] [INFO] disk_pruner: Auto-pruned: pycache: /home/sntrblck/.openclaw/workspace/.venv/lib/python3.11/site-packages/rlp/__pycache__ (0.0MB)
[2026-04-02 09:37:54] [INFO] disk_pruner: Auto-pruned: pycache: /home/sntrblck/.openclaw/workspace/.venv/lib/python3.11/site-packages/rlp/sedes/__pycache__ (0.0MB)
[2026-04-02 09:37:54] [INFO] disk_pruner: Auto-pruned: pycache: /home/sntrblck/.openclaw/workspace/.venv/lib/python3.11/site-packages/bitarray/__pycache__ (0.0MB)
[2026-04-02 09:37:54] [INFO] disk_pruner: Auto-pruned: pycache: /home/sntrblck/.openclaw/workspace/.venv/lib/python3.11/site-packages/hexbytes/__pycache__ (0.0MB)
[2026-04-02 09:37:54] [INFO] disk_pruner: Auto-pruned: pycache: /home/sntrblck/.openclaw/workspace/.venv/lib/python3.11/site-packages/annotated_types/__pycache__ (0.0MB)
[2026-04-02 09:37:54] [INFO] disk_pruner: Auto-pruned: pycache: /home/sntrblck/.openclaw/workspace/.venv/lib/python3.11/site-packages/idna/__pycache__ (0.1MB)
[2026-04-02 09:37:54] [INFO] disk_pruner: Auto-pruned: pycache: /home/sntrblck/.openclaw/workspace/.venv/lib/python3.11/site-packages/eth_rlp/__pycache__ (0.0MB)
[2026-04-02 09:37:54] [INFO] disk_pruner: Auto-pruned: pycache: /home/sntrblck/.openclaw/workspace/.venv/lib/python3.11/site-packages/pydantic/__pycache__ (0.5MB)
[2026-04-02 09:37:54] [INFO] disk_pruner: Auto-pruned: pycache: /home/sntrblck/.openclaw/workspace/.venv/lib/python3.11/site-packages/pydantic/_internal/__pycache__ (0.5MB)
[2026-04-02 09:37:54] [INFO] disk_pruner: Auto-pruned: pycache: /home/sntrblck/.openclaw/workspace/.venv/lib/python3.11/site-packages/pydantic/plugin/__pycache__ (0.0MB)
[2026-04-02 09:37:54] [INFO] disk_pruner: Auto-pruned: pycache: /home/sntrblck/.openclaw/workspace/.venv/lib/python3.11/site-packages/attr/__pycache__ (0.2MB)
[2026-04-02 09:37:54] [INFO] disk_pruner: Auto-pruned: pycache: /home/sntrblck/.openclaw/workspace/.venv/lib/python3.11/site-packages/typing_inspection/__pycache__ (0.0MB)
